epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,263.348,1.0973,1.1684,1.07285,0.76214,0.43685,0.49489,0.3548,0.94279,1.04758,0.997,0.000301635,0.000301635,0.000301635
2,458.403,1.07944,1.13878,1.05386,0.76534,0.44751,0.49771,0.35286,0.98984,1.04725,1.02013,0.000584682,0.000584682,0.000584682
3,636.708,1.08532,1.14459,1.06254,0.78858,0.42891,0.49091,0.34781,0.98442,1.11801,0.99588,0.000847731,0.000847731,0.000847731
4,814.513,1.12515,1.16421,1.07007,0.79978,0.43273,0.49295,0.35122,1.02153,1.05703,1.01528,0.000819009,0.000819009,0.000819009
5,994.138,1.10196,1.12609,1.06238,0.72767,0.45827,0.50294,0.35853,1.00824,0.98815,1.01321,0.000789012,0.000789012,0.000789012
6,1177.35,1.07964,1.09413,1.05809,0.80977,0.43234,0.50418,0.35827,0.97225,0.99124,1.0012,0.000759015,0.000759015,0.000759015
7,1337.1,1.07522,1.05999,1.05521,0.82942,0.45656,0.52268,0.37325,0.95613,0.93199,0.99264,0.000729018,0.000729018,0.000729018
8,1524.19,1.09005,1.05882,1.05754,0.77458,0.46322,0.51681,0.37801,0.95122,0.92513,0.99559,0.000699021,0.000699021,0.000699021
9,1708.66,1.06694,1.03312,1.05475,0.79213,0.46079,0.52431,0.37865,0.94075,0.90633,0.99519,0.000669024,0.000669024,0.000669024
10,1891.49,1.04898,0.98924,1.03524,0.8307,0.47352,0.5367,0.39149,0.92215,0.8604,0.98603,0.000639027,0.000639027,0.000639027
11,2073.55,1.04069,0.97494,1.04035,0.83221,0.47051,0.52863,0.38801,0.90837,0.89962,0.96435,0.00060903,0.00060903,0.00060903
12,2254.26,1.02347,0.95001,1.03193,0.79439,0.48708,0.54668,0.3956,0.91369,0.82591,0.97,0.000579033,0.000579033,0.000579033
13,2435.75,1.01449,0.92484,1.01208,0.81621,0.4849,0.54484,0.40364,0.91075,0.80664,0.96971,0.000549036,0.000549036,0.000549036
14,2627.08,0.97471,0.9054,1.01122,0.82357,0.46859,0.54503,0.39871,0.89199,0.78516,0.96505,0.000519039,0.000519039,0.000519039
15,2781.43,0.97871,0.88795,1.00922,0.86339,0.47637,0.55408,0.41385,0.86037,0.75351,0.95377,0.000489042,0.000489042,0.000489042
16,3030.49,0.95849,0.85294,0.99781,0.82333,0.49714,0.55625,0.4143,0.87071,0.76246,0.95132,0.000459045,0.000459045,0.000459045
17,3364.2,0.9617,0.85706,1.00404,0.8481,0.482,0.55892,0.42045,0.86218,0.7514,0.95715,0.000429048,0.000429048,0.000429048
18,3695.44,0.94929,0.84746,0.99389,0.88251,0.49023,0.57295,0.43123,0.83725,0.70913,0.94999,0.000399051,0.000399051,0.000399051
19,4027.68,0.93552,0.81644,0.9997,0.90769,0.47408,0.56386,0.4314,0.81721,0.71192,0.94128,0.000369054,0.000369054,0.000369054
20,4352.52,0.90933,0.78692,0.97955,0.85461,0.51359,0.57415,0.43174,0.81875,0.68113,0.9418,0.000339057,0.000339057,0.000339057
21,4670.78,0.83073,0.71952,0.93703,0.91002,0.4821,0.56144,0.41947,0.83196,0.73262,0.94728,0.00030906,0.00030906,0.00030906
22,4988.36,0.79862,0.66912,0.93384,0.90941,0.48295,0.5641,0.4232,0.83584,0.70951,0.94701,0.000279063,0.000279063,0.000279063
23,5310.78,0.79723,0.67113,0.92955,0.907,0.4893,0.57092,0.43045,0.81384,0.70163,0.9444,0.000249066,0.000249066,0.000249066
24,5632.03,0.77454,0.64591,0.91755,0.8759,0.48652,0.56647,0.43418,0.80368,0.69263,0.93578,0.000219069,0.000219069,0.000219069
25,5964.51,0.76691,0.64084,0.91102,0.87153,0.50209,0.57175,0.43977,0.79244,0.68648,0.93701,0.000189072,0.000189072,0.000189072
26,6296.89,0.74806,0.60517,0.90759,0.87424,0.50472,0.57723,0.4423,0.79313,0.66624,0.93416,0.000159075,0.000159075,0.000159075
27,6479.55,0.75869,0.6103,0.9029,0.8596,0.5102,0.57599,0.44047,0.78198,0.65768,0.92996,0.000129078,0.000129078,0.000129078
28,6605.14,0.7316,0.57857,0.89834,0.8524,0.52188,0.57814,0.44376,0.77429,0.65431,0.92717,9.91E-05,9.91E-05,9.91E-05
29,6757.98,0.70982,0.56807,0.89224,0.87389,0.5181,0.57868,0.44617,0.76728,0.64414,0.92512,6.91E-05,6.91E-05,6.91E-05
30,7446.01,0.70717,0.56884,0.89293,0.89442,0.5081,0.58199,0.44859,0.76363,0.64355,0.92532,3.91E-05,3.91E-05,3.91E-05
